ride_id,rideable_type,started_at,ended_at,start_station_name,start_station_id,end_station_name,end_station_id,start_lat,start_lng,end_lat,end_lng,member_casual
CF844C17B6B6D740,electric_bike,49:33.7,55:30.9,Loomis St & Jackson Blvd,13206,Halsted St & Polk St,TA1307000121,41.877945,-87.662007,41.87184,-87.64664,member
E51B91C20A28DF1E,classic_bike,22:35.3,10:05.0,Emerald Ave & 31st St,TA1309000055,Wallace St & 35th St,TA1308000045,41.838198,-87.645143,41.83070705,-87.64125533,member
809CC5E2972802F1,classic_bike,30:39.3,33:27.7,Burling St & Diversey Pkwy,13208,Wilton Ave & Diversey Pkwy*,chargingstx2,41.93314,-87.64776,41.932418,-87.652705,member
2BD33E87CB16D990,electric_bike,02:07.3,07:49.6,Clinton St & Washington Blvd,WL-012,Halsted St & Fulton St,23003,41.88338,-87.64117,41.886871,-87.648089,member
C1DD0695D59D6EC9,electric_bike,58:08.6,01:51.4,Clinton St & Washington Blvd,WL-012,Halsted St & Fulton St,23003,41.88337469,-87.64177859,41.886871,-87.648089,member
A4B621BEDBFAB1F8,electric_bike,11:55.2,17:34.2,Racine Ave & 18th St,13164,Halsted St & Polk St,TA1307000121,41.8583996,-87.6564226,41.87184,-87.64664,member
EAB8276935C1BB4F,electric_bike,19:12.9,28:51.0,Halsted St & Archer Ave,TA1308000013,Halsted St & Polk St,TA1307000121,41.847203,-87.646795,41.87184,-87.64664,member
74F53397039BF9B8,classic_bike,44:35.9,56:07.2,Sheridan Rd & Irving Park Rd,13063,Lincoln Ave & Belle Plaine Ave,TA1309000026,41.954245,-87.654406,41.95600355,-87.68016145,member
055522AFE94E3865,electric_bike,24:40.3,29:16.2,Daley Center Plaza,TA1306000010,Federal St & Polk St,SL-008,41.884241,-87.629634,41.87207763,-87.62954377,member
EFFD7A492781ECD3,electric_bike,26:56.0,32:32.4,Daley Center Plaza,TA1306000010,Federal St & Polk St,SL-008,41.884241,-87.629634,41.87207763,-87.62954377,member
A9A5D27477245CB5,electric_bike,43:44.2,48:17.7,Daley Center Plaza,TA1306000010,Federal St & Polk St,SL-008,41.884241,-87.629634,41.87207763,-87.62954377,member
9695598BF1F7C430,electric_bike,07:57.6,12:40.3,Daley Center Plaza,TA1306000010,Federal St & Polk St,SL-008,41.884241,-87.629634,41.87207763,-87.62954377,member
CB6EE87C0E006859,electric_bike,16:23.2,22:18.0,Daley Center Plaza,TA1306000010,Federal St & Polk St,SL-008,41.884241,-87.629634,41.87207763,-87.62954377,member
4D9AC05D3E7DD091,classic_bike,36:54.6,45:58.4,Clinton St & Roosevelt Rd,WL-008,Federal St & Polk St,SL-008,41.86711778,-87.64108796,41.87207763,-87.62954377,member
DCCDC0091AF2EF6C,classic_bike,18:49.6,22:20.7,DuSable Lake Shore Dr & Belmont Ave,TA1309000049,DuSable Lake Shore Dr & Diversey Pkwy,TA1309000039,41.940775,-87.639192,41.932588,-87.636427,member
46BE11FA35319038,classic_bike,59:45.7,02:04.8,Clark St & Wellington Ave,TA1307000136,Broadway & Barry Ave,13137,41.93649682,-87.64753866,41.93758232,-87.64409781,member
9180149C80C10C49,classic_bike,12:56.4,19:43.7,Lincoln Ave & Fullerton Ave,TA1309000058,Broadway & Barry Ave,13137,41.92416103,-87.64638036,41.93758232,-87.64409781,member
6C254DAD19C0C516,classic_bike,51:51.4,14:06.9,Michigan Ave & Oak St,13042,Broadway & Barry Ave,13137,41.90096039,-87.62377664,41.93758232,-87.64409781,member
35260E01210154E9,classic_bike,24:10.3,27:55.3,Broadway & Cornelia Ave,13278,Broadway & Barry Ave,13137,41.945529,-87.646439,41.93758232,-87.64409781,member
